"","GO_ID","gene"
"1","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG13"
"2","KEGG_N_GLYCAN_BIOSYNTHESIS","DOLPP1"
"3","KEGG_N_GLYCAN_BIOSYNTHESIS","RPN1"
"4","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG14"
"5","KEGG_N_GLYCAN_BIOSYNTHESIS","MAN1B1"
"6","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG3"
"7","KEGG_N_GLYCAN_BIOSYNTHESIS","B4GALT1"
"8","KEGG_N_GLYCAN_BIOSYNTHESIS","MGAT5"
"9","KEGG_N_GLYCAN_BIOSYNTHESIS","RPN2"
"10","KEGG_N_GLYCAN_BIOSYNTHESIS","STT3A"
"11","KEGG_N_GLYCAN_BIOSYNTHESIS","MGAT3"
"12","KEGG_N_GLYCAN_BIOSYNTHESIS","DAD1"
"13","KEGG_N_GLYCAN_BIOSYNTHESIS","MGAT2"
"14","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG12"
"15","KEGG_N_GLYCAN_BIOSYNTHESIS","TUSC3"
"16","KEGG_N_GLYCAN_BIOSYNTHESIS","MAN1C1"
"17","KEGG_N_GLYCAN_BIOSYNTHESIS","DPM2"
"18","KEGG_N_GLYCAN_BIOSYNTHESIS","DPM1"
"19","KEGG_N_GLYCAN_BIOSYNTHESIS","GANAB"
"20","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG1"
"21","KEGG_N_GLYCAN_BIOSYNTHESIS","MGAT4A"
"22","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG10B"
"23","KEGG_N_GLYCAN_BIOSYNTHESIS","STT3B"
"24","KEGG_N_GLYCAN_BIOSYNTHESIS","MAN1A2"
"25","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG10"
"26","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG11"
"27","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG8"
"28","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG2"
"29","KEGG_N_GLYCAN_BIOSYNTHESIS","DPAGT1"
"30","KEGG_N_GLYCAN_BIOSYNTHESIS","RFT1"
"31","KEGG_N_GLYCAN_BIOSYNTHESIS","DPM3"
"32","KEGG_N_GLYCAN_BIOSYNTHESIS","DDOST"
"33","KEGG_N_GLYCAN_BIOSYNTHESIS","MGAT4B"
"34","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG6"
"35","KEGG_N_GLYCAN_BIOSYNTHESIS","MAN2A2"
"36","KEGG_N_GLYCAN_BIOSYNTHESIS","MAN1A1"
"37","KEGG_N_GLYCAN_BIOSYNTHESIS","MAN2A1"
"38","KEGG_N_GLYCAN_BIOSYNTHESIS","ST6GAL1"
"39","KEGG_N_GLYCAN_BIOSYNTHESIS","B4GALT3"
"40","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG5"
"41","KEGG_N_GLYCAN_BIOSYNTHESIS","B4GALT2"
"42","KEGG_N_GLYCAN_BIOSYNTHESIS","MGAT5B"
"43","KEGG_N_GLYCAN_BIOSYNTHESIS","ALG9"
"44","KEGG_N_GLYCAN_BIOSYNTHESIS","MOGS"
"45","KEGG_N_GLYCAN_BIOSYNTHESIS","FUT8"
"46","KEGG_N_GLYCAN_BIOSYNTHESIS","MGAT1"
"47","KEGG_OTHER_GLYCAN_DEGRADATION","ENGASE"
"48","KEGG_OTHER_GLYCAN_DEGRADATION","GLB1"
"49","KEGG_OTHER_GLYCAN_DEGRADATION","MANBA"
"50","KEGG_OTHER_GLYCAN_DEGRADATION","MAN2B1"
"51","KEGG_OTHER_GLYCAN_DEGRADATION","GBA"
"52","KEGG_OTHER_GLYCAN_DEGRADATION","NEU4"
"53","KEGG_OTHER_GLYCAN_DEGRADATION","NEU2"
"54","KEGG_OTHER_GLYCAN_DEGRADATION","NEU1"
"55","KEGG_OTHER_GLYCAN_DEGRADATION","FUCA1"
"56","KEGG_OTHER_GLYCAN_DEGRADATION","FUCA2"
"57","KEGG_OTHER_GLYCAN_DEGRADATION","AGA"
"58","KEGG_OTHER_GLYCAN_DEGRADATION","MAN2C1"
"59","KEGG_OTHER_GLYCAN_DEGRADATION","MAN2B2"
"60","KEGG_OTHER_GLYCAN_DEGRADATION","NEU3"
"61","KEGG_OTHER_GLYCAN_DEGRADATION","HEXB"
"62","KEGG_OTHER_GLYCAN_DEGRADATION","HEXA"
"63","KEGG_O_GLYCAN_BIOSYNTHESIS","GALNT4"
"64","KEGG_O_GLYCAN_BIOSYNTHESIS","GALNT15"
"65","KEGG_O_GLYCAN_BIOSYNTHESIS","GALNTL5"
